"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"RAG Chatbots for Educational Virtual Field Trips","S. R. Kalvakolu; H. Söbke; F. Wehking; M. C. K. Mamidala; E. Kraft","Digital Engineering, Bauhaus-Universität Weimar, Weimar, Germany; HSW University of Applied Scienes, Hameln, Germany; Bauhaus-Institute for Infrastructure Solutions (b.is), Bauhaus Universität Weimar, Weimar, Germany; Digital Engineering, Bauhaus-Universität Weimar, Weimar, Germany; Bauhaus-Institute for Infrastructure Solutions (b.is), Bauhaus Universität Weimar, Weimar, Germany",2025 International Symposium on Multimedia (ISM),"3 Feb 2026","2025","","","196","201","Virtual field trips (VFTs) are increasingly recognized as effective educational activities, particularly in technical fields, where they provide remote access to complex locations. However, self-guided VFTs often leave learners with unresolved questions due to the absence of real-time instructional support. While chatbots based on large language models such as ChatGPT might be powerful learning tools, they are prone to inaccuracies due to their reliance on generalized knowledge bases. Thus, this pilot study introduces a retrieval augmented generation (RAG) chatbot specifically designed to generate accurate, contextually relevant responses from a curated set of technical documents related to an VFT environment based on 360° technology. Learners (N=1 0) were exposed to the 3 6 0° VFT environment of a biogas plant, where the chatbot provided real-time assistance. A mixed-methods evaluation was employed to assess the chatbot's impact on learning, including both qualitative user feedback, collected in semi-structured interviews, and quantitative measures. The quantitative measures comprised – based on standardized questionnaires – motivation, emotion, cognitive load, and usability, while learning gains were collected based on a pre-posttest design. The findings demonstrate that the RAG-enabled chatbot supports the accuracy of information retrieval, thereby not overstraining the cognitive load on learners. Participants reported a better understanding of domain-specific information, underlining the potential of RAG-based chatbots in virtual environments.","","979-8-3315-4590-1","10.1109/ISM66958.2025.00047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11366732","Retrieval Augmented Generation;RAG;Virtual Field Trips;VFT;Chatbot;Cognitive Load;Learning Prerequisites;Educational Technology","Accuracy;Atmospheric measurements;Retrieval augmented generation;Virtual environments;User interfaces;Chatbots;Cognitive load;Particle measurements;Real-time systems;Usability","","","","36","IEEE","3 Feb 2026","8-10 Dec. 2025","8-10 Dec. 2025","IEEE","IEEE Conferences"
"Evaluating Efficiency and Engagement in Scripted and LLM-Enhanced Human-Robot Interactions","T. Schreiter; J. V. Rüppel; R. Hazra; A. Rudenko; M. Magnusson; A. J. Lilienthal","PercInS, Technical University of Munich, Munich, Germany; Chemnitz University of Technology, Chemnitz, Germany; AASS, Örebro University, Örebro, Sweden; Corporate Research, Robert Bosch GmbH, Stuttgart, Germany; AASS, Örebro University, Örebro, Sweden; PercInS, Technical University of Munich, Munich, Germany",2025 20th ACM/IEEE International Conference on Human-Robot Interaction (HRI),"30 Apr 2025","2025","","","1608","1612","To achieve natural and intuitive interaction with people, HRI frameworks combine a wide array of methods for human perception, intention communication, human-aware navigation and collaborative action. In practice, when encountering unpredictable behavior of people or unexpected states of the environment, these frameworks may lack the ability to dynamically recognize such states, adapt and recover to resume the interaction. Large Language Models (LLMs), owing to their advanced reasoning capabilities and context retention, present a promising solution for enhancing robot adaptability. This potential, however, may not directly translate to improved interaction metrics. This paper considers a representative interaction with an industrial robot involving approach, instruction, and object manipulation, implemented in two conditions: (1) fully scripted and (2) including LLM-enhanced responses. We use gaze tracking and questionnaires to measure the participants' task efficiency, engagement, and robot perception. The results indicate higher SUbjective ratings for the LLM condition, but objective metrics show that the scripted condition performs comparably, particularly in efficiency and focus during simple tasks. We also note that the scripted condition may have an edge over LLM-enhanced responses in terms of response latency and energy consumption, especially for trivial and repetitive interactions.","","979-8-3503-7893-1","10.1109/HRI61500.2025.10974124","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10974124","Human-Robot Interaction;AI-Enabled Robotics","Energy consumption;Translation;Service robots;Navigation;Large language models;Human-robot interaction;Collaboration;Gaze tracking;Particle measurements;Industrial robots","","1","","18","IEEE","30 Apr 2025","4-6 March 2025","4-6 March 2025","IEEE","IEEE Conferences"
"InfraMLForge: Developer Tooling for Rapid LLM Development and Scalable Deployment","Y. Zhang","Khoury College of Computer Sciences, Northeastern University, Boston, United States",2025 8th International Conference on Computer Information Science and Application Technology (CISAT),"1 Oct 2025","2025","","","273","277","Large language models (LLMs) have transformed the landscape of artificial intelligence, presenting immense potential across various applications. However, the complexity involved in developing and deploying these models can hinder progress for many practitioners. To address this challenge, we introduce InfraMLForge, a comprehensive ecosystem that serves as a toolkit for developers. InfraMLForge is tailored to streamline the development process, allowing machine learning practitioners to prioritize innovation while alleviating infrastructure burdens. The toolkit features essential components such as model training utilities, dataset management capabilities, and versatile deployment pipelines optimized for cloud and edge environments. This integration facilitates smooth transitions throughout the development lifecycle and ensures thorough monitoring of models post-deployment. Through various case studies, we illustrate the operational effectiveness of InfraMLForge and its capacity to enhance developer productivity while supporting a range of workloads, effectively positioning it as a vital resource for advancing LLM applications.","","979-8-3315-3890-3","10.1109/CISAT66811.2025.11181815","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11181815","Scalable Deployment;LLM Agents;Tooling Development","Training;Productivity;Technological innovation;Biological system modeling;Large language models;Computational modeling;Pipelines;Ecosystems;Machine learning;Monitoring","","","","24","IEEE","1 Oct 2025","11-13 July 2025","11-13 July 2025","IEEE","IEEE Conferences"
"A Human-LLM Interaction Framework for Engineering Design: A Case Study on CAD and CAE","J. Wang; Z. Gan; G. -N. Zhu","College of Intelligent Robotics and Advanced Manufacturing, Fudan University, Shanghai, China; College of Intelligent Robotics and Advanced Manufacturing, Fudan University, Shanghai, China; College of Intelligent Robotics and Advanced Manufacturing, Fudan University, Shanghai, China",2025 3rd International Conference on Design Science (ICDS),"11 Mar 2026","2025","","","1","7","LLMs (Large language models) are becoming increasingly popular in engineering design tasks due to their excellent semantic understanding and code generation capabilities. However, there is a lack of effective interaction specifications for human-LLM collaboration in engineering design, leading to an overabundance of ineffective and aimless human-LLM dialogues, as well as underperformance of LLMs in certain complex engineering design tasks. To address these limitations, this paper presents a human-LLM interaction framework by standardizing prompt and incorporating human knowledge into LLMs. The prompt paradigm consists of three parts: referenceable examples, expected tasks, and output requirements. An error correction mechanism is suggested to rectify errors based on human knowledge. A case study on CAD and CAE is provided to illustrate the implementation of the human-LLM interaction framework in engineering design. Experimental results show that the proposed framework can significantly assist in solving engineering design tasks.","","979-8-3315-8609-6","10.1109/ICDS67121.2025.11425336","Fudan University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11425336","Large language models;Human-LLM interaction;CAD;CAE","Codes;Large language models;Semantics;Collaboration;Error correction","","","","29","IEEE","11 Mar 2026","24-26 July 2025","24-26 July 2025","IEEE","IEEE Conferences"
"Fine-Tuned LLMs in Programming Education to Improve Student Performance in Syntax Mastery and Problem-Solving Skills","B. Alokush; A. Mughaid; S. AlZu’bi","Department of Computer Science, Alzaytoonah University of Jordan, Amman, Jordan; Department of Computer Science, Gulf University of Science & Technology, Kuwait; Department of Computer Science, Alzaytoonah University of Jordan, Amman, Jordan",2025 3rd International Conference on Foundation and Large Language Models (FLLM),"19 Feb 2026","2025","","","845","850","AI and particular LLMs is increasingly restructuring educational process. While GenAI has proved its ability to provide real-time code suggestions and explanations, using GenAI in programming education raises both opportunities and challenges. Students may use LLMs to bypass acquiring important skills, depend on AI generated code instead of developing themselves. This study investigates the impact of fine-tuned LLMs in programming education focusing on two important learning criteria (syntax mastery and problem-solving skills). The work investigates on how LLMs employed with domain-specific educational datasets to provide personalized, context-aware feed-back supporting students, while encouraging responsible and creative GenAI usage. The proposed approach is established within a student-centered educational framework where AI acts as a teaching assistant, reducing thinking load by explaining errors in natural language, while shifting teaching objectives towards creativity, debugging, and adaptation. For performance evaluation, experiments across three student levels (high school programming courses, undergraduate introductory courses, and advanced computer science classes) with three sections of 20 students each is conducted. The proposed work has been tested traditional instruction using real programming datasets and AI-augmented learning group using simulated coding tasks. The system performance is evaluated using several metrics such as creativity and engagement, problem-solving accuracy, syntax error reduction, and time to solve. The achieved results prove that fine-tuned LLMs improve student creativity and engagement significantly, where improvements in syntax mastery and logical problem-solving maintain the quality. The achievement suggested to integrate fine-tuned LLMs with responsible AI to improve programming education, and overcome traditional methods where more creative and reflective learners achieved.","","979-8-3315-9409-1","10.1109/FLLM67465.2025.11390961","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11390961","Fine-Tuned LLMs;Programming Education;Syntax Mastery;GenAI for Problem Solving;AI-Augmented Learning","Performance evaluation;Codes;System performance;Education;Natural languages;Syntactics;Real-time systems;Problem-solving;Programming profession;Creativity","","","","19","IEEE","19 Feb 2026","25-28 Nov. 2025","25-28 Nov. 2025","IEEE","IEEE Conferences"
"Transforming Software Architecture Design With Intelligent Assistants-A Comparative Analysis","R. Ramachandran","Independent Researcher and Solutions Architect, Hudson, MA, USA",SoutheastCon 2025,"25 Apr 2025","2025","","","1446","1454","As artificial intelligence tools such as GitHub Copilot, Chat Generative Pre-Trained Transformer (ChatGPT), or Black Box Artificial Intelligence (BlackBoxAI) become more embedded in software development workflows, they are reshaping how architects approach modern software design. While enterprises are increasingly leveraging Generative Artificial Intelligence (GenAI) tools to enhance developer productivity, limited research has been conducted on their impact on software architects. Traditionally, architects utilize various tools to create architectural blueprints, including Unified Modelling Language (UML) diagrams, class diagrams, sequence diagrams, use case diagrams, and state diagrams. Many of these diagrams follow repetitive structures that can be automated with well-defined contexts. This paper examines the role of three AI tools in assisting architects during the design phase, assessing how closely the generated outputs adhere to established architectural principles. By analyzing deviations, the study explores how refined prompts and additional context can improve accuracy. Research also includes cross tool comparison. Ultimately, this research aims to evaluate the potential of AI assistant tools to enhance productivity, ensure design consistency, and support architectural decision-making, while providing best practices for integrating AI into modern software architecture.","1558-058X","979-8-3315-0484-7","10.1109/SoutheastCon56624.2025.10971683","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10971683","BlackboxAI;ChatGPT;Gen AI;Github Copilot;Software Architecture","Productivity;Software design;Software architecture;Generative AI;Unified modeling language;Chatbots;Transformers;Security;Artificial intelligence;Software development management","","2","","24","IEEE","25 Apr 2025","22-30 March 2025","22-30 March 2025","IEEE","IEEE Conferences"
"BRIDGING Human Expertise and Generative AI in Software Quality: A Study on Code Smell Detection in Software Engineering Education","N. Pombo; C. Cunha","Instituto de Telecomunicações, Universidade da Beira Interior, Covilhã, Portugal; Escola Superior de Tecnologia de Viseu, Instituto Politécnico de Viseu, Viseu, Portugal","2025 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)","22 Jan 2026","2025","","","1","8","Large language models (LLMs) transform software engineering by providing AI-assisted coding, debugging, and software quality analysis. Integrated into tools such as ChatGPT and GitHub Copilot, these models assist in code generation, refactoring, and issue detection, improving developer productivity. However, AI still presents challenges such as confabulations, limited contextual understanding, and inconsistencies in code recommendations. This study examines the role of LLMs in code smell detection, evaluating their effectiveness as a complementary tool in software engineering education. An experiment was conducted with higher education students, comparing manual and AI-assisted code smell detection through hands-on exercises. The pre- and post-experiment questionnaires assessed participants’ trust in AI, familiarity with code smells, and confidence in manual detection. Although AI accelerated analysis and identified common patterns, it struggled with contextual reasoning, occasionally producing misleading recommendations. The findings suggest that AI can improve software quality assessment but requires human oversight to ensure reliable and context-aware results.","","979-8-3315-9841-9","10.1109/TALE66047.2025.11346609","Erasmus; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11346609","Generative AI;Code Smell Detection;AI4SE;Large Language Models for Software Engineering (LLM4SE)","Codes;Generative AI;Large language models;Education;Software quality;Manuals;Encoding;Software reliability;Artificial intelligence;Software engineering","","","","22","IEEE","22 Jan 2026","4-7 Dec. 2025","4-7 Dec. 2025","IEEE","IEEE Conferences"
"From Assessment to Enhancement of Pull Requests at Scale: Aligning Code Reviews with Developer Competencies Using Large Language Models","L. Mariotto; C. M. Adriano; R. Eichhorn; D. Burgstahler; H. Giese","Mercedes-Benz Tech Innovation, Stuttgart, Germany; Hasso Plattner Institute, Potsdam, Germany; Mercedes-Benz Tech Innovation, Stuttgart, Germany; Mercedes-Benz Tech Innovation, Stuttgart, Germany; Hasso Plattner Institute, Potsdam, Germany",2025 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),"12 Jan 2026","2025","","","478","487","Background] Efficient code review is essential in industrial software development, but writing high-quality Pull Request (PR) descriptions aligned with core software engineering competencies remains challenging. [Aims] To investigate Large Language Models (LLMs) as a reliable PR description assistant, we examined two research problems: (1) how developer competencies relate to real-world PR quality, and (2) how developers perceive PR quality and their variants (LLM-Improved). [Methods] We adopted six software engineering competencies to prompt six LLMs to score 212,687 PRs from 82 opensource projects spanning three repository archetypes. From these, we selected the top six PRs for a controlled experiment with 38 software professionals, using a $6 \times 6$ Latin square design to measure preferences. The LLMs generated three variants of each original (O) PR: degraded (D), improved from the original (IO), and improved from the degraded (ID). We then compared these variants across LLMs for semantic, lexical, and stylistic similarity. [Results] Surprisingly, our controlled experiment with 38 software professionals showed that the ID variant was rated significantly higher than both the Original PR (O) and the LLMDegraded (D) one. However, the IO variant was not significantly better, and participants complained about their verbosity and the “AI tone”. Concerning generalizability, the six LLMs produced semantically similar PRs, but with high lexical and stylistic variation. [Conclusions] This suggests LLMs can enhance PR by providing missing structure but require guidance to retain human nuance. Overall, our findings support human-centered, modelaware integration of LLMs to strengthen competency-aligned code review.","","979-8-3315-9147-2","10.1109/ESEM64174.2025.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11323436","Code Review;Pull Requests;Automated Quality Assessment;Software Metrics;Empirical Study","Codes;Reviews;Large language models;Semantics;Reliability engineering;Software;Software reliability;Software measurement;Software engineering;Software development management","","","","54","IEEE","12 Jan 2026","2-3 Oct. 2025","2-3 Oct. 2025","IEEE","IEEE Conferences"
"ReFuzzer: Feedback-Driven Approach to Enhance Validity of LLM-Generated Test Programs","I. Shree; K. Even-Mendoza; T. Radzik","King’s College London, London, United Kingdom; King’s College London, London, United Kingdom; King’s College London, London, United Kingdom",2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),"28 Jan 2026","2025","","","4017","4020","Existing LLM-based compiler fuzzers often produce syntactically or semantically invalid test programs, limiting their effectiveness in exercising compiler optimisations and backend components. We introduce ReFuzzer, a framework for refining LLM-generated test programs by systematically detecting and correcting compilation and runtime violations (e.g. division by zero or array out-of-bounds accesses). ReFuzzeremploys a feedback loop with a local LLM to validate and filter erroneous programs before execution, improving fuzzing effectiveness beyond crash detection and enabling the generation of diverse yet valid test programs.We evaluated ReFuzzer’s effectiveness across black-, grey-and white-box fuzzing approaches targeting LLVM/Clang. ReFuzzerimproved test programs’ validity from 47.0–49.4% to 96.6–97.3%, with an average processing time of 2.9–3.5 s per test program on a dual-GPU machine. Further, refuzzing significantly increased code coverage in critical optimisation and IR generation components. For example, vectorization coverage had an absolute of 9.2%, 2.3%, and 7.1% improvement in black-, grey-, and white-box fuzzing, enhancing testing effectiveness.","2643-1572","979-8-3503-5733-2","10.1109/ASE63991.2025.00364","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11334633","Compiler Fuzzing;Large Language Models","Feedback loop;Program processors;Runtime;Limiting;Large language models;Refining;Fuzzing;Optimization;Glass box;Testing","","","","21","IEEE","28 Jan 2026","16-20 Nov. 2025","16-20 Nov. 2025","IEEE","IEEE Conferences"
"Intention is All you Need: Refining your Code from your Intention","Q. Guo; X. Xie; S. Liu; M. Hu; X. Li; L. Bu","Tianjin University, P.R. China; Singapore Management University, Singapore; State Key Laboratory for Novel Software Technology, Nanjing University, P.R. China; Singapore Management University, Singapore; Tianjin University, P.R. China; State Key Laboratory for Novel Software Technology, Nanjing University, P.R. China",2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"23 Jun 2025","2025","","","1127","1139","Code refinement aims to enhance existing code by addressing issues, refactoring, and optimizing to improve quality and meet specific requirements. As software projects scale in size and complexity, the traditional iterative exchange between re-viewers and developers becomes increasingly burdensome. While recent deep learning techniques have been explored to accelerate this process, their performance remains limited, primarily due to challenges in accurately understanding reviewers' intents. This paper proposes an intention-based code refinement technique that enhances the conventional comment-to-code process by explicitly extracting reviewer intentions from the comments. Our approach consists of two key phases: Intention Extraction and Intention Guided Revision Generation. Intention Extraction categorizes comments using predefined templates, while Intention Guided Revision Generation employs large language models (LLMs) to generate revised code based on these defined intentions. Three categories with eight subcategories are designed for comment transformation, which is followed by a hybrid approach that combines rule-based and LLM-based classifiers for accurate classification. Extensive experiments with five LLMs (G PT 40, GPT3.5, DeepSeekV2, DeepSeek7B, CodeQwen7B) under different prompting settings demonstrate that our approach achieves 79 % accuracy in intention extraction and up to 66 % in code refinement generation. Our results highlight the potential of our approach in enhancing data quality and improving the efficiency of code refinement.","1558-1225","979-8-3315-0569-1","10.1109/ICSE55347.2025.00191","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029878","code refinement;intention-based generation;large language model","Deep learning;Codes;Accuracy;Large language models;Data integrity;Refining;Software;Complexity theory;Iterative methods;Software engineering","","5","","49","IEEE","23 Jun 2025","26 April-6 May 2025","26 April-6 May 2025","IEEE","IEEE Conferences"
"Immersive Ethics: AI-Driven Feedback and Virtual Reality Enhance ABET-Aligned Decision-Making in Mechatronic Engineering Undergraduates","R. G. Tobías; J. A. Ramirez","Business School Tecnologico de Monterrey, Monterrey, Mexico; School of Engeneering and Sciences Tecnologico de Monterrey, Monterrey, Mexico","2025 International Symposium on Networks, Computers and Communications (ISNCC)","21 Nov 2025","2025","","","1","8","Meeting ABET’s revised Outcome 4 has proven challenging, as paper-based case studies often fail to replicate the urgency and complexity of real-world engineering crises. This study employed a randomized controlled trial to evaluate a virtual-reality ethics module delivered through the VirtualSpeech ${ }^{\text {TM }}$ platform on Meta Quest 3 headsets, coupled with a large-language-model tutor providing adaptive formative feedback. Eighty fifthsemester mechatronic-engineering students were block-randomized-stratified by gender and grade average-into a VR-plus-AI intervention or a seminar-based control. Outcomes included a seven-dimension ABET Ethics Rubric, NASA-TLX workload ratings, and eye-contact analytics. Compared to the control, the VR-plus-AI group achieved statistically significant gains in ethical-decision quality (Hedges’ $\mathbf{g} \boldsymbol{=} \mathbf{0. 8 2}$), reduced perceived cognitive load, and enhanced gaze engagement, with all effects persisting four weeks post-intervention. These findings suggest that immersive realism combined with AI-driven feedback offers a scalable, evidence-based strategy for cultivating ethical competence and addressing accreditation demands in engineering education.","2768-0940","978-1-6654-5768-2","10.1109/ISNCC66965.2025.11250483","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11250483","Artificial Intelligence;Virtual Reality;Engineering Ethics Education;ABET Accreditation Outcomes;Educational Innovation;Higher Education","Surveys;Ethics;Technological innovation;Visualization;Mechatronics;Decision making;Virtual reality;Cognitive load;Accreditation;Artificial intelligence","","","","23","IEEE","21 Nov 2025","27-29 Oct. 2025","27-29 Oct. 2025","IEEE","IEEE Conferences"
"AI-Powered Automatic Question Generation for Teachers","S. Y. Widjaja; A. Yohannis","Department of Information Technology, Pradita University, Tangerang, Indonesia; Department of Information Technology, Pradita University, Tangerang, Indonesia","2025 International Conference on Smart Computing, IoT and Machine Learning (SIML)","22 Jul 2025","2025","","","1","6","Indonesia is facing a significant shortage of teachers, particularly in remote areas, due to various contributing factors. This shortage exacerbates disparities in teaching quality and underscores the need for innovative solutions. This study proposes the use of Artificial Intelligence (AI), specifically Generative AI, to automate the creation of diverse test items. The proposed AI-powered tool focuses on generating questions aligned with Indonesia's Minimum Competency Assessment (MCA) in reading literacy and mathematics. By leveraging large language models, natural language processing techniques, and image generation for visual stimuli, the tool aims to support teachers in developing engaging and customized assessments tailored to students' needs. The outcome is expected to be an AI-based tool that not only reduces teacher workload but also improves the quality and effectiveness of student assessments in Indonesia.","","979-8-3315-2278-0","10.1109/SIML65326.2025.11081160","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11081160","artificial intelligence;question generation;image generation;teacher assistance;minimum competency assessment;indonesia;large language model","Visualization;Image synthesis;Generative AI;Large language models;Education;Machine learning;Question generation;Mathematics","","","","12","IEEE","22 Jul 2025","3-4 June 2025","3-4 June 2025","IEEE","IEEE Conferences"
"Exploring ChatGPT for Face Presentation Attack Detection in Zero and Few-Shot in-Context Learning","A. Komaty; H. O. Shahreza; A. George; S. Marcel","Idiap Research Institute, Switzerland; Idiap Research Institute, Switzerland; Idiap Research Institute, Switzerland; Idiap Research Institute, Switzerland",2025 IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW),"29 Apr 2025","2025","","","1602","1611","This study highlights the potential of ChatGPT (specifically GPT-4o) as a competitive alternative for Face Presentation Attack Detection (PAD), outperforming several PAD models, including commercial solutions, in specific scenarios. Our results11https://gitlab.idiap.ch/bob/bob.paper.wacv2025.chatgpt.face.pad show that GPT-4o demonstrates high consistency, particularly in few-shot in-context learning, where its performance improves as more examples are provided (reference data). We also observe that detailed prompts enable the model to provide scores reliably, a behavior not observed with concise prompts. Additionally, explanation-seeking prompts slightly enhance the model's performance by improving its interpretability. Remarkably, the model exhibits emergent reasoning capabilities, correctly predicting the attack type (print or replay) with high accuracy in few-shot scenarios, despite not being explicitly instructed to classify attack types. Despite these strengths, GPT-4o faces challenges in zero-shot tasks, where its performance is limited compared to specialized PAD systems. Experiments were conducted on a subset of the SOTERIA dataset, ensuring compliance with data privacy regulations by using only data from consenting individuals. These findings underscore GPT-4o's promise in PAD applications, laying the groundwork for future research to address broader data privacy concerns and improve cross-dataset generalization.","2690-621X","979-8-3315-3662-6","10.1109/WACVW65960.2025.00093","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10972499","face presentation attack detection;chatgpt;gpt-4o;zero-shot learning;few-shot learning;in-context learning;emergent reasoning;prompt engineering;soteria dataset;data privacy;explainable ai.","Data privacy;Computer vision;Accuracy;Conferences;Predictive models;Chatbots;Regulation;Cognition;Reliability;Faces","","5","","35","IEEE","29 Apr 2025","28 Feb.-4 March 2025","28 Feb.-4 March 2025","IEEE","IEEE Conferences"
"LLM-based Iterative Refinement of Finite-State Machines with STPA Controller Constraints and Generation of IEC 61499 Code","A. King; V. Vyatkin","Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland",2025 IEEE 30th International Conference on Emerging Technologies and Factory Automation (ETFA),"21 Oct 2025","2025","","","1","8","Large Language Models (LLMs) are increasingly being used in software development and in applications like code generation. While LLMs can provide significant value in the form of time savings in common programming languages like Python, their usability in generating automation software has yet to be studied extensively. In the context of generating control software in the form of IEC 61131-3 compliant code, initial studies suggest LLMs provide a promising avenue for increasing control engineer productivity. However, similar code generation for IEC 61499-based control applications is still scarce. While tools are being developed for this purpose, their capabilities are not yet fully understood, and they often require significant human input to generate the intended outcomes. This paper explores LLM-based code generation for IEC 61499-based applications through iterative prompting. The prompts for the experiments are derived from requirements generated by System-Theoretic Process Analysis (STPA), which provides a systematic approach to creating prompts that also connect to the larger systems engineering workflow. The results indicate that while the approach may be successful in some instances, more work is required to mitigate the issues arising from its application.","1946-0759","979-8-3315-5383-8","10.1109/ETFA65518.2025.11205687","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11205687","STPA;IEC61499;iterative prompting;LLM;finite-state machine","Actuators;Codes;Systematics;Automata;Systems engineering and theory;Software;Iterative methods;IEC Standards;Usability;Software development management","","3","","11","IEEE","21 Oct 2025","9-12 Sept. 2025","9-12 Sept. 2025","IEEE","IEEE Conferences"
"Repository-Level Code Smell Detection Based on Multi-Scale Code Information and LLM Assistance","W. Liang; Y. Zeng; H. -T. Zheng; J. Wang; H. Lin; H. -G. Kim; B. An; Z. Wei; Y. Xu","Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; Seoul National University; Tencent; Tencent; Tencent",2025 International Joint Conference on Neural Networks (IJCNN),"14 Nov 2025","2025","","","1","8","In software engineering, code smell detection has always been an important research task because it affects the readability and maintainability of programs. Traditional code smell detection work mostly focuses on a single file, and the study of repo-level code smell caused by the interaction of multiple files is still relatively lacking, although it is more practical in reality. Although large language models (LLMs) have recently achieved remarkable success in the field of code generation, simply copying the fine-tuning method based on LLM is not good enough in this task because it is difficult to model the logical relationship between multiple files. In this paper, we propose a repo-level code smell detection model(RSD), which divides the levels according to the distance between the rest class and the problem class, uses cross attention and CNN to model global and local information, and uses LLM to generate teacher vectors in the same scenario for assistance. Finally, the detection performance surpasses the fine-tuning baseline method based on multiple code LLMs and has achieved the state-of-the-art. Finally, we also contribute the BenchMark used in this article to help researchers in the repo-level smell detection task.","2161-4407","979-8-3315-1042-8","10.1109/IJCNN64981.2025.11228932","National Natural Science Foundation of China; Ministry of Education; Natural Science Foundation of Guangdong Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11228932","Software;Software Engineering;Software Quality/SQA;Artificial Intelligence;Program verification","Training;Codes;Large language models;Neural networks;Benchmark testing;Software;Vectors;Software engineering","","","","27","IEEE","14 Nov 2025","30 June-5 July 2025","30 June-5 July 2025","IEEE","IEEE Conferences"
"Breaking Barriers in Mobile Accessibility: A Study of LLM-Generated Native Android Interfaces","D. M. F. Rabelo; R. de Souza Martins; I. Santos; P. H. G. Da Silva; K. Gama; W. Viana","Federal University of Ceará, Fortaleza, Brazil; Federal University of Ceará, Fortaleza, Brazil; Federal University of Ceará, Fortaleza, Brazil; Federal University of Ceará, Fortaleza, Brazil; Federal University of Pernambuco, Recife, Brazil; Federal University of Ceará, Fortaleza, Brazil",2025 IEEE/ACM 12th International Conference on Mobile Software Engineering and Systems (MOBILESoft),"9 Jun 2025","2025","","","20","31","Rapid advancements in artificial intelligence, particularly in large language models (LLMs), have opened new opportunities for automating software development tasks, including the generation of code for mobile applications. This paper examines the potential of LLMs, such as ChatGPT, to improve the accessibility of native Android apps. It evaluates whether LLM-generated code aligns with established accessibility standards, focusing on various screen layouts and prompt designs. Two studies were conducted to assess the accessibility of the generated interfaces. The first study analyzed the generation of seven types of mobile interfaces using less restrictive prompts. In contrast, the second study required the generated code to adhere to a specific interface programming model. After evaluation, 540 accessibility issues were identified, with interfaces generated using the Jetpack Compose framework showing better performance, although still in need of improvement. Interestingly, prompts explicitly requesting accessibility often produced more errors than standard prompts, highlighting the difficulties that LLMs face in comprehending and implementing accessibility requirements. This research emphasizes the need to refine LLM outputs when it comes to interface descriptions, as accessibility issues may be introduced into code intended for use by developers.","","979-8-3315-3869-9","10.1109/MOBILESoft66462.2025.00010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11024506","large language models;mobile apps;accessibility;mobile accessibility","Codes;Large language models;Layout;Focusing;Programming;Mobile applications;Standards;Faces;Software engineering;Software development management","","","","51","IEEE","9 Jun 2025","27-28 April 2025","27-28 April 2025","IEEE","IEEE Conferences"
